# Step	Measurement
1	9.723930e-01
2	9.707856e-01
3	9.696457e-01
4	9.683807e-01
5	9.666614e-01
6	9.657635e-01
7	9.656106e-01
8	9.678542e-01
9	9.700621e-01
10	9.717899e-01
11	9.733912e-01
12	9.755803e-01
13	9.755864e-01
14	9.744472e-01
15	9.731500e-01
16	9.712117e-01
17	9.686981e-01
18	9.652673e-01
19	9.635375e-01
20	9.630830e-01
21	9.627538e-01
22	9.628792e-01
23	9.631418e-01
24	9.641370e-01
25	9.665453e-01
26	9.685449e-01
27	9.716350e-01
28	9.767176e-01
29	9.806921e-01
30	9.835538e-01
31	9.844946e-01
32	9.832288e-01
33	9.801968e-01
34	9.764011e-01
35	9.718612e-01
36	9.655894e-01
37	9.599611e-01
38	9.561212e-01
39	9.544681e-01
40	9.558153e-01
41	9.587084e-01
42	9.605404e-01
43	9.636762e-01
44	9.680508e-01
45	9.731538e-01
46	9.791970e-01
47	9.833642e-01
48	9.869333e-01
49	9.875658e-01
50	9.869324e-01
51	9.823090e-01
52	9.759033e-01
53	9.706035e-01
54	9.637042e-01
55	9.564573e-01
56	9.517755e-01
57	9.485770e-01
58	9.487877e-01
59	9.513147e-01
60	9.559164e-01
61	9.633538e-01
62	9.706846e-01
63	9.774413e-01
64	9.838729e-01
65	9.875746e-01
66	9.891607e-01
67	9.876866e-01
68	9.844952e-01
69	9.790836e-01
70	9.715166e-01
71	9.629426e-01
72	9.545622e-01
73	9.479083e-01
74	9.443292e-01
75	9.445733e-01
76	9.486731e-01
77	9.564097e-01
78	9.658607e-01
79	9.746472e-01
80	9.819538e-01
81	9.876523e-01
82	9.912247e-01
83	9.923536e-01
84	9.895300e-01
85	9.845349e-01
86	9.761248e-01
87	9.665540e-01
88	9.588167e-01
89	9.528372e-01
90	9.485904e-01
91	9.470306e-01
92	9.482757e-01
93	9.531301e-01
94	9.608369e-01
95	9.698444e-01
96	9.794972e-01
97	9.868657e-01
98	9.927712e-01
99	9.944469e-01
100	9.940565e-01
101	9.902387e-01
102	9.846686e-01
103	9.778750e-01
104	9.708440e-01
105	9.647658e-01
106	9.583801e-01
107	9.543116e-01
108	9.535285e-01
109	9.549516e-01
110	9.593588e-01
111	9.647279e-01
112	9.717793e-01
113	9.797658e-01
114	9.865376e-01
115	9.921736e-01
116	9.933044e-01
117	9.931479e-01
118	9.920584e-01
119	9.886208e-01
120	9.843199e-01
121	9.784227e-01
122	9.724354e-01
123	9.679988e-01
124	9.632938e-01
125	9.605262e-01
126	9.600319e-01
127	9.608805e-01
128	9.634448e-01
129	9.678820e-01
130	9.730068e-01
131	9.795870e-01
132	9.848699e-01
133	9.893795e-01
134	9.933891e-01
135	9.959380e-01
136	9.952259e-01
137	9.899564e-01
138	9.831107e-01
139	9.744378e-01
140	9.657934e-01
141	9.588906e-01
142	9.545828e-01
143	9.532938e-01
144	9.548070e-01
145	9.573810e-01
146	9.635046e-01
147	9.711106e-01
148	9.788874e-01
149	9.851134e-01
150	9.892811e-01
151	9.919338e-01
152	9.914418e-01
153	9.883542e-01
154	9.821037e-01
155	9.734560e-01
156	9.635460e-01
157	9.550594e-01
158	9.496789e-01
159	9.473530e-01
160	9.483601e-01
161	9.525467e-01
162	9.587773e-01
163	9.675383e-01
164	9.760327e-01
165	9.839674e-01
166	9.904359e-01
167	9.938713e-01
168	9.940674e-01
169	9.899615e-01
170	9.830320e-01
171	9.741576e-01
172	9.635893e-01
173	9.529878e-01
174	9.448634e-01
175	9.401490e-01
176	9.386911e-01
177	9.406026e-01
178	9.449168e-01
179	9.517535e-01
180	9.613368e-01
181	9.719575e-01
182	9.818846e-01
183	9.901535e-01
184	9.971758e-01
185	1.000919e+00
186	1.001609e+00
187	9.985691e-01
188	9.932785e-01
189	9.863211e-01
190	9.777003e-01
191	9.692131e-01
192	9.614797e-01
193	9.563404e-01
194	9.539244e-01
195	9.544203e-01
196	9.580475e-01
197	9.649030e-01
198	9.731034e-01
199	9.818020e-01
200	9.902114e-01
201	9.960793e-01
202	1.000586e+00
203	1.004676e+00
204	1.005282e+00
205	1.002790e+00
206	9.975928e-01
207	9.901335e-01
208	9.817453e-01
209	9.727377e-01
210	9.642243e-01
211	9.574679e-01
212	9.518822e-01
213	9.497844e-01
214	9.502231e-01
215	9.542240e-01
216	9.630355e-01
217	9.742846e-01
218	9.860981e-01
219	9.962588e-01
220	1.004521e+00
221	1.009474e+00
222	1.010276e+00
223	1.007059e+00
224	9.989781e-01
225	9.873372e-01
226	9.735744e-01
227	9.595610e-01
228	9.462003e-01
229	9.357864e-01
230	9.307261e-01
231	9.320761e-01
232	9.375531e-01
233	9.477758e-01
234	9.603511e-01
235	9.741745e-01
236	9.879578e-01
237	9.983100e-01
238	1.005399e+00
239	1.009732e+00
240	1.010876e+00
241	1.007210e+00
242	9.997126e-01
243	9.894701e-01
244	9.778566e-01
245	9.656560e-01
246	9.527872e-01
247	9.418113e-01
248	9.347824e-01
249	9.331075e-01
250	9.372054e-01
251	9.452535e-01
252	9.570341e-01
253	9.701868e-01
254	9.831403e-01
255	9.938457e-01
256	1.001208e+00
257	1.005603e+00
258	1.006799e+00
259	1.003574e+00
260	9.948596e-01
261	9.840245e-01
262	9.721873e-01
263	9.595089e-01
264	9.487282e-01
265	9.409252e-01
266	9.376965e-01
267	9.393688e-01
268	9.446015e-01
269	9.528388e-01
270	9.621258e-01
271	9.731384e-01
272	9.837985e-01
273	9.925165e-01
274	9.995084e-01
275	1.003704e+00
276	1.003771e+00
277	1.000899e+00
278	9.963247e-01
279	9.897164e-01
280	9.807491e-01
281	9.699368e-01
282	9.613483e-01
283	9.536157e-01
284	9.489597e-01
285	9.466482e-01
286	9.492020e-01
287	9.546884e-01
288	9.643296e-01
289	9.757835e-01
290	9.866544e-01
291	9.952495e-01
292	9.998038e-01
293	1.002113e+00
294	1.000479e+00
295	9.946474e-01
296	9.861869e-01
297	9.760420e-01
298	9.650274e-01
299	9.543002e-01
300	9.454603e-01
301	9.399879e-01
302	9.381137e-01
303	9.396640e-01
304	9.449646e-01
305	9.548501e-01
306	9.666428e-01
307	9.779162e-01
308	9.883996e-01
309	9.966702e-01
310	1.003026e+00
311	1.007773e+00
312	1.008902e+00
313	1.006496e+00
314	9.996716e-01
315	9.894446e-01
316	9.770448e-01
317	9.631878e-01
318	9.519210e-01
319	9.422017e-01
320	9.349148e-01
321	9.317453e-01
322	9.334805e-01
323	9.396459e-01
324	9.511697e-01
325	9.656574e-01
326	9.812476e-01
327	9.950884e-01
328	1.006287e+00
329	1.014788e+00
330	1.017730e+00
331	1.015869e+00
332	1.009094e+00
333	9.980669e-01
334	9.860698e-01
335	9.734826e-01
336	9.596438e-01
337	9.474498e-01
338	9.358647e-01
339	9.274965e-01
340	9.235344e-01
341	9.248848e-01
342	9.335481e-01
343	9.462160e-01
344	9.606949e-01
345	9.764389e-01
346	9.909058e-01
347	1.001502e+00
348	1.008569e+00
349	1.011595e+00
350	1.011711e+00
351	1.007161e+00
352	9.990355e-01
353	9.863642e-01
354	9.720558e-01
355	9.584750e-01
356	9.465106e-01
357	9.365664e-01
358	9.309371e-01
359	9.307620e-01
360	9.364432e-01
361	9.462622e-01
362	9.580489e-01
363	9.700376e-01
364	9.825120e-01
365	9.939945e-01
366	1.002142e+00
367	1.006909e+00
368	1.006662e+00
369	1.004257e+00
370	9.960091e-01
371	9.850735e-01
372	9.728404e-01
373	9.610516e-01
374	9.498468e-01
375	9.415700e-01
376	9.360144e-01
377	9.340515e-01
378	9.356940e-01
379	9.442099e-01
380	9.548594e-01
381	9.671716e-01
382	9.804577e-01
383	9.911189e-01
384	9.998283e-01
385	1.003716e+00
386	1.001937e+00
387	9.958120e-01
388	9.878352e-01
389	9.766993e-01
390	9.638493e-01
391	9.508249e-01
392	9.401647e-01
393	9.325998e-01
394	9.291292e-01
395	9.314392e-01
396	9.368797e-01
397	9.475581e-01
398	9.605860e-01
399	9.755433e-01
400	9.896610e-01
401	1.000875e+00
402	1.008510e+00
403	1.011769e+00
404	1.010562e+00
405	1.005200e+00
406	9.951395e-01
407	9.834905e-01
408	9.715891e-01
409	9.585233e-01
410	9.479491e-01
411	9.403554e-01
412	9.364336e-01
413	9.378193e-01
414	9.446938e-01
415	9.553775e-01
416	9.685849e-01
417	9.818528e-01
418	9.937567e-01
419	1.003605e+00
420	1.008681e+00
421	1.010546e+00
422	1.008308e+00
423	1.003114e+00
424	9.942128e-01
425	9.822745e-01
426	9.696434e-01
427	9.570666e-01
428	9.464624e-01
429	9.385037e-01
430	9.342619e-01
431	9.343933e-01
432	9.393152e-01
433	9.460457e-01
434	9.548858e-01
435	9.651514e-01
436	9.769994e-01
437	9.883876e-01
438	9.960576e-01
439	9.996904e-01
440	1.000937e+00
441	9.990806e-01
442	9.915606e-01
443	9.810069e-01
444	9.690898e-01
445	9.576770e-01
446	9.481267e-01
447	9.412852e-01
448	9.379471e-01
449	9.390684e-01
450	9.439974e-01
451	9.518086e-01
452	9.613181e-01
453	9.708600e-01
454	9.799470e-01
455	9.886782e-01
456	9.959723e-01
457	1.000932e+00
458	1.003106e+00
459	1.002339e+00
460	9.970548e-01
461	9.890495e-01
462	9.786163e-01
463	9.697335e-01
464	9.600825e-01
465	9.533616e-01
466	9.499519e-01
467	9.496224e-01
468	9.507404e-01
469	9.556452e-01
470	9.622579e-01
471	9.714635e-01
472	9.818431e-01
473	9.918222e-01
474	1.000792e+00
475	1.006596e+00
476	1.008608e+00
477	1.006006e+00
478	9.991939e-01
479	9.897157e-01
480	9.806316e-01
481	9.700188e-01
482	9.596099e-01
483	9.505783e-01
484	9.434504e-01
485	9.406689e-01
486	9.413518e-01
487	9.461586e-01
488	9.549814e-01
489	9.652925e-01
490	9.772618e-01
491	9.881182e-01
492	9.983031e-01
493	1.004578e+00
494	1.007708e+00
495	1.005787e+00
496	9.995722e-01
497	9.902797e-01
498	9.783027e-01
499	9.653285e-01
500	9.519161e-01
501	9.402258e-01
502	9.342636e-01
503	9.323675e-01
504	9.381714e-01
505	9.484331e-01
506	9.616975e-01
507	9.762652e-01
508	9.900360e-01
509	1.000448e+00
510	1.006383e+00
511	1.007939e+00
512	1.004684e+00
513	9.955606e-01
514	9.812678e-01
515	9.658164e-01
516	9.501339e-01
517	9.356141e-01
518	9.267588e-01
519	9.255168e-01
520	9.301910e-01
521	9.386417e-01
522	9.523480e-01
523	9.689352e-01
524	9.859805e-01
525	1.001422e+00
526	1.013140e+00
527	1.021042e+00
528	1.023672e+00
529	1.023682e+00
530	1.018597e+00
531	1.009764e+00
532	9.972541e-01
533	9.833761e-01
534	9.681983e-01
535	9.551105e-01
536	9.452158e-01
537	9.395324e-01
538	9.387586e-01
539	9.411858e-01
540	9.477932e-01
541	9.581624e-01
542	9.719318e-01
543	9.855367e-01
544	9.986753e-01
545	1.011489e+00
546	1.022365e+00
547	1.028448e+00
548	1.029656e+00
549	1.026886e+00
550	1.018310e+00
551	1.006662e+00
552	9.931120e-01
553	9.789910e-01
554	9.655424e-01
555	9.523017e-01
556	9.424520e-01
557	9.377865e-01
558	9.376527e-01
559	9.411426e-01
560	9.484145e-01
561	9.603872e-01
562	9.727990e-01
563	9.834716e-01
564	9.933514e-01
565	1.001429e+00
566	1.006156e+00
567	1.006502e+00
568	1.003022e+00
569	9.961516e-01
570	9.872747e-01
571	9.786202e-01
572	9.692040e-01
573	9.601076e-01
574	9.519236e-01
575	9.458312e-01
576	9.433069e-01
577	9.430454e-01
578	9.457133e-01
579	9.510884e-01
580	9.586077e-01
581	9.676522e-01
582	9.771781e-01
583	9.860862e-01
584	9.942562e-01
585	1.001135e+00
586	1.004327e+00
587	1.004570e+00
588	1.001826e+00
589	9.951705e-01
590	9.859933e-01
591	9.751504e-01
592	9.642236e-01
593	9.562677e-01
594	9.497036e-01
595	9.452169e-01
596	9.444863e-01
597	9.476338e-01
598	9.540479e-01
599	9.628114e-01
600	9.723952e-01
601	9.823510e-01
602	9.903808e-01
603	9.971701e-01
604	1.002765e+00
605	1.006133e+00
606	1.007570e+00
607	1.006212e+00
608	1.001368e+00
609	9.941052e-01
610	9.844311e-01
611	9.719175e-01
612	9.613712e-01
613	9.508441e-01
614	9.434702e-01
615	9.391796e-01
616	9.388757e-01
617	9.418797e-01
618	9.503295e-01
619	9.632638e-01
620	9.786033e-01
621	9.941099e-01
622	1.007055e+00
623	1.018194e+00
624	1.024855e+00
625	1.025851e+00
626	1.021051e+00
627	1.009937e+00
628	9.942552e-01
629	9.770973e-01
630	9.598133e-01
631	9.451078e-01
632	9.352433e-01
633	9.299123e-01
634	9.289056e-01
635	9.335545e-01
636	9.430196e-01
637	9.569762e-01
638	9.726143e-01
639	9.878078e-01
640	1.003461e+00
641	1.014767e+00
642	1.022325e+00
643	1.023429e+00
644	1.019374e+00
645	1.008297e+00
646	9.927857e-01
647	9.750024e-01
648	9.594346e-01
649	9.453922e-01
650	9.336161e-01
651	9.240647e-01
652	9.191600e-01
653	9.211771e-01
654	9.289495e-01
655	9.432717e-01
656	9.614771e-01
657	9.808929e-01
658	9.984174e-01
659	1.012918e+00
660	1.023742e+00
661	1.030322e+00
662	1.031739e+00
663	1.024825e+00
664	1.012993e+00
665	9.972104e-01
666	9.788997e-01
667	9.591883e-01
668	9.413612e-01
669	9.283912e-01
670	9.200285e-01
671	9.185926e-01
672	9.257006e-01
673	9.379184e-01
674	9.542663e-01
675	9.717967e-01
676	9.912040e-01
677	1.008492e+00
678	1.021607e+00
679	1.030129e+00
680	1.032565e+00
681	1.031082e+00
682	1.024695e+00
683	1.013201e+00
684	9.988722e-01
685	9.832018e-01
686	9.672774e-01
687	9.529579e-01
688	9.426762e-01
689	9.376228e-01
690	9.380753e-01
691	9.423568e-01
692	9.515639e-01
693	9.634118e-01
694	9.789747e-01
695	9.944627e-01
696	1.008111e+00
697	1.018418e+00
698	1.024452e+00
699	1.025547e+00
700	1.022409e+00
701	1.014502e+00
702	1.003505e+00
703	9.912742e-01
704	9.789539e-01
705	9.657592e-01
706	9.527498e-01
707	9.423521e-01
708	9.382169e-01
709	9.388964e-01
710	9.443170e-01
711	9.528378e-01
712	9.650126e-01
713	9.791566e-01
714	9.924110e-01
715	1.002510e+00
716	1.009606e+00
717	1.012095e+00
718	1.010772e+00
719	1.006329e+00
720	9.969629e-01
721	9.845708e-01
722	9.693062e-01
723	9.548277e-01
724	9.432726e-01
725	9.353977e-01
726	9.317432e-01
727	9.340978e-01
728	9.408817e-01
729	9.507013e-01
730	9.627507e-01
731	9.745247e-01
732	9.858927e-01
733	9.950807e-01
734	1.000847e+00
735	1.002501e+00
736	1.001470e+00
737	9.968108e-01
738	9.893087e-01
739	9.792779e-01
740	9.695202e-01
741	9.605726e-01
742	9.522052e-01
743	9.454955e-01
744	9.417902e-01
745	9.410514e-01
746	9.455434e-01
747	9.524059e-01
748	9.613907e-01
749	9.722657e-01
750	9.832560e-01
751	9.916933e-01
752	9.978850e-01
753	1.001856e+00
754	1.002517e+00
755	1.000308e+00
756	9.941169e-01
757	9.845335e-01
758	9.761516e-01
759	9.689045e-01
760	9.613185e-01
761	9.560212e-01
762	9.546403e-01
763	9.557792e-01
764	9.604746e-01
765	9.664375e-01
766	9.749006e-01
767	9.844203e-01
768	9.932627e-01
769	1.001683e+00
770	1.007593e+00
771	1.008934e+00
772	1.006804e+00
773	1.000882e+00
774	9.928256e-01
775	9.834108e-01
776	9.726842e-01
777	9.632802e-01
778	9.556897e-01
779	9.515650e-01
780	9.498154e-01
781	9.505409e-01
782	9.541622e-01
783	9.612658e-01
784	9.690296e-01
785	9.765745e-01
786	9.829417e-01
787	9.884961e-01
788	9.944077e-01
789	9.982868e-01
790	9.990908e-01
791	9.970492e-01
792	9.938277e-01
793	9.899430e-01
794	9.853174e-01
795	9.799786e-01
796	9.745997e-01
797	9.701528e-01
798	9.665924e-01
799	9.632807e-01
800	9.594577e-01
801	9.582931e-01
802	9.603996e-01
803	9.627329e-01
804	9.676981e-01
805	9.760125e-01
806	9.841279e-01
807	9.910970e-01
808	9.960629e-01
809	9.970111e-01
810	9.946824e-01
811	9.905941e-01
812	9.844628e-01
813	9.764719e-01
814	9.685357e-01
815	9.626991e-01
816	9.567669e-01
817	9.524035e-01
818	9.509287e-01
819	9.510850e-01
820	9.529900e-01
821	9.563943e-01
822	9.613338e-01
823	9.656662e-01
824	9.690434e-01
825	9.722524e-01
826	9.751268e-01
827	9.742343e-01
828	9.727529e-01
829	9.694644e-01
830	9.651614e-01
831	9.596100e-01
832	9.533600e-01
833	9.488951e-01
834	9.479200e-01
835	9.508458e-01
836	9.545887e-01
837	9.596598e-01
838	9.647465e-01
839	9.686360e-01
840	9.715065e-01
841	9.733613e-01
842	9.731849e-01
843	9.709110e-01
844	9.655225e-01
845	9.591160e-01
846	9.530968e-01
847	9.476695e-01
848	9.452139e-01
849	9.461890e-01
850	9.505430e-01
851	9.561076e-01
852	9.634619e-01
853	9.718806e-01
854	9.803171e-01
855	9.872352e-01
856	9.921389e-01
857	9.941115e-01
858	9.939354e-01
859	9.915398e-01
860	9.872103e-01
861	9.789988e-01
862	9.694162e-01
863	9.603458e-01
864	9.527998e-01
865	9.485647e-01
866	9.479047e-01
867	9.510148e-01
868	9.564346e-01
869	9.636777e-01
870	9.732274e-01
871	9.819546e-01
872	9.904645e-01
873	9.981277e-01
874	1.002871e+00
875	1.004865e+00
876	1.005604e+00
877	1.002925e+00
878	9.968458e-01
879	9.879483e-01
880	9.790855e-01
881	9.695817e-01
882	9.604412e-01
883	9.530120e-01
884	9.483617e-01
885	9.473447e-01
886	9.514794e-01
887	9.605928e-01
888	9.706301e-01
889	9.805479e-01
890	9.916314e-01
891	1.000530e+00
892	1.007868e+00
893	1.011896e+00
894	1.011982e+00
895	1.007139e+00
896	9.989997e-01
897	9.876040e-01
898	9.750447e-01
899	9.632232e-01
900	9.523958e-01
901	9.444077e-01
902	9.405333e-01
903	9.410295e-01
904	9.470062e-01
905	9.552573e-01
906	9.659121e-01
907	9.771537e-01
908	9.882671e-01
909	9.979861e-01
910	1.005349e+00
911	1.009303e+00
912	1.006385e+00
913	9.993370e-01
914	9.897083e-01
915	9.771044e-01
916	9.654824e-01
917	9.556776e-01
918	9.460238e-01
919	9.393959e-01
920	9.363820e-01
921	9.377015e-01
922	9.428269e-01
923	9.527430e-01
924	9.646608e-01
925	9.774441e-01
926	9.902392e-01
927	1.001714e+00
928	1.010684e+00
929	1.014244e+00
930	1.014332e+00
931	1.008646e+00
932	9.990621e-01
933	9.876247e-01
934	9.748768e-01
935	9.620585e-01
936	9.494961e-01
937	9.420593e-01
938	9.379829e-01
939	9.382948e-01
940	9.427955e-01
941	9.510337e-01
942	9.634450e-01
943	9.763307e-01
944	9.905897e-01
945	1.004083e+00
946	1.015264e+00
947	1.022305e+00
948	1.023483e+00
949	1.018000e+00
950	1.008360e+00
951	9.936641e-01
952	9.765657e-01
953	9.585649e-01
954	9.424992e-01
955	9.297749e-01
956	9.223122e-01
957	9.218055e-01
958	9.267001e-01
959	9.369599e-01
960	9.509904e-01
961	9.676211e-01
962	9.847143e-01
